id_season;id_league;date;time;id_club_home;id_club_visiting;round
2011;5;20-11-2010;18.30;91;29;
2011;5;20-11-2010;18.30;30;26;
2011;5;20-11-2010;18.30;18;21;
2011;5;21-11-2010;17.00;92;27;
2011;5;23-11-2010;18.30;29;18;
2011;5;23-11-2010;18.30;26;27;
2011;5;23-11-2010;18.30;21;30;
2011;5;23-11-2010;18.30;13;25;
2011;5;23-11-2010;18.30;28;91;
2011;5;23-11-2010;18.30;31;12;
2011;5;23-11-2010;18.30;32;92;
2011;5;25-11-2010;18.30;13;26;
2011;5;25-11-2010;18.30;91;25;
2011;5;25-11-2010;18.30;30;29;
2011;5;25-11-2010;18.30;92;28;
2011;5;25-11-2010;18.30;12;31;
2011;5;26-11-2010;18.30;27;21;
2011;5;26-11-2010;18.30;18;32;
2011;5;27-11-2010;16.00;13;12;
2011;5;27-11-2010;18.30;26;18;
2011;5;27-11-2010;18.30;21;29;
2011;5;27-11-2010;18.30;28;27;
2011;5;27-11-2010;18.30;91;30;
2011;5;27-11-2010;18.30;31;92;
2011;5;27-11-2010;18.30;32;25;
2011;5;30-11-2010;18.30;29;13;
2011;5;30-11-2010;18.30;25;28;
2011;5;30-11-2010;18.30;30;27;
2011;5;30-11-2010;18.30;92;21;
2011;5;30-11-2010;18.30;18;31;
2011;5;30-11-2010;18.30;12;26;
2011;5;30-11-2010;18.30;32;91;
2011;5;02-12-2010;18.30;26;32;
2011;5;02-12-2010;18.30;21;91;
2011;5;02-12-2010;18.30;13;92;
2011;5;02-12-2010;18.30;28;12;
2011;5;02-12-2010;18.30;31;25;
2011;5;03-12-2010;18.30;29;30;
2011;5;03-12-2010;18.30;25;92;
2011;5;03-12-2010;18.30;27;18;
2011;5;04-12-2010;17.00;12;18;
2011;5;04-12-2010;18.30;21;26;
2011;5;04-12-2010;18.30;28;30;
2011;5;04-12-2010;18.30;91;13;
2011;5;04-12-2010;18.30;31;29;
2011;5;04-12-2010;18.30;32;27;
2011;5;07-12-2010;18.30;29;12;
2011;5;07-12-2010;18.30;25;13;
2011;5;07-12-2010;18.30;26;28;
2011;5;07-12-2010;18.30;30;21;
2011;5;07-12-2010;18.30;18;91;
2011;5;07-12-2010;18.30;32;31;
2011;5;09-12-2010;18.30;25;18;
2011;5;09-12-2010;18.30;21;31;
2011;5;09-12-2010;18.30;27;29;
2011;5;09-12-2010;18.30;28;13;
2011;5;09-12-2010;18.30;92;91;
2011;5;10-12-2010;18.30;26;30;
2011;5;10-12-2010;18.30;12;32;
2011;5;11-12-2010;18.30;29;28;
2011;5;11-12-2010;18.30;27;25;
2011;5;11-12-2010;18.30;30;91;
2011;5;11-12-2010;18.30;92;12;
2011;5;11-12-2010;18.30;31;13;
2011;5;11-12-2010;18.30;18;26;
2011;5;11-12-2010;18.30;32;21;
2011;5;13-12-2010;18.30;18;13;
2011;5;28-12-2010;18.30;26;32;
2011;5;28-12-2010;18.30;21;18;
2011;5;28-12-2010;18.30;13;29;
2011;5;28-12-2010;18.30;28;25;
2011;5;28-12-2010;18.30;92;30;
2011;5;28-12-2010;18.30;31;91;
2011;5;28-12-2010;18.30;12;27;
2011;5;30-12-2010;18.30;29;32;
2011;5;30-12-2010;18.30;25;91;
2011;5;30-12-2010;18.30;27;21;
2011;5;30-12-2010;18.30;28;31;
2011;5;30-12-2010;18.30;30;18;
2011;5;30-12-2010;18.30;92;13;
2011;5;30-12-2010;18.30;12;26;
2011;5;04-01-2011;18.30;26;27;
2011;5;04-01-2011;18.30;21;25;
2011;5;04-01-2011;18.30;13;18;
2011;5;04-01-2011;18.30;91;12;
2011;5;04-01-2011;18.30;30;31;
2011;5;04-01-2011;18.30;92;29;
2011;5;04-01-2011;18.30;32;28;
2011;5;06-01-2011;18.30;29;92;
2011;5;06-01-2011;18.30;25;32;
2011;5;06-01-2011;18.30;27;30;
2011;5;06-01-2011;18.30;91;21;
2011;5;06-01-2011;18.30;31;26;
2011;5;06-01-2011;18.30;18;28;
2011;5;06-01-2011;18.30;12;13;
2011;5;07-01-2011;18.30;13;27;
2011;5;08-01-2011;18.30;26;25;
2011;5;08-01-2011;18.30;28;91;
2011;5;08-01-2011;18.30;30;12;
2011;5;08-01-2011;18.30;92;31;
2011;5;08-01-2011;18.30;32;18;
2011;5;11-01-2011;18.30;29;26;
2011;5;11-01-2011;18.30;25;13;
2011;5;11-01-2011;18.30;27;28;
2011;5;11-01-2011;18.30;91;32;
2011;5;11-01-2011;18.30;31;30;
2011;5;11-01-2011;18.30;18;92;
2011;5;11-01-2011;18.30;12;21;
2011;5;13-01-2011;18.30;29;27;
2011;5;13-01-2011;18.30;26;21;
2011;5;13-01-2011;18.30;13;31;
2011;5;13-01-2011;18.30;30;25;
2011;5;13-01-2011;18.30;92;28;
2011;5;13-01-2011;18.30;18;91;
2011;5;13-01-2011;18.30;32;12;
2011;5;14-01-2011;18.30;21;13;
2011;5;15-01-2011;16.00;31;27;
2011;5;15-01-2011;18.30;25;29;
2011;5;15-01-2011;18.30;28;18;
2011;5;15-01-2011;18.30;91;26;
2011;5;15-01-2011;18.30;12;92;
2011;5;15-01-2011;18.30;32;30;
2011;5;18-01-2011;18.30;29;31;
2011;5;18-01-2011;18.30;13;32;
2011;5;18-01-2011;18.30;27;91;
2011;5;18-01-2011;18.30;28;12;
2011;5;18-01-2011;18.30;30;26;
2011;5;18-01-2011;18.30;92;25;
2011;5;18-01-2011;18.30;18;21;
2011;5;19-01-2011;18.30;31;12;
2011;5;20-01-2011;18.30;29;13;
2011;5;20-01-2011;18.30;25;28;
2011;5;20-01-2011;18.30;26;18;
2011;5;20-01-2011;18.30;21;27;
2011;5;20-01-2011;18.30;91;30;
2011;5;20-01-2011;18.30;32;92;
2011;5;22-01-2011;18.30;25;27;
2011;5;22-01-2011;18.30;28;29;
2011;5;22-01-2011;18.30;30;13;
2011;5;22-01-2011;18.30;92;21;
2011;5;22-01-2011;18.30;18;31;
2011;5;22-01-2011;18.30;12;91;
2011;5;22-01-2011;18.30;32;25;
2011;5;25-01-2011;18.30;29;18;
2011;5;25-01-2011;18.30;26;12;
2011;5;25-01-2011;18.30;21;30;
2011;5;25-01-2011;18.30;13;28;
2011;5;25-01-2011;18.30;27;92;
2011;5;25-01-2011;18.30;91;25;
2011;5;25-01-2011;18.30;31;32;
2011;5;27-01-2011;18.30;29;;
2011;5;27-01-2011;18.30;25;;
2011;5;27-01-2011;18.30;26;;
2011;5;27-01-2011;18.30;21;;
2011;5;27-01-2011;18.30;13;;
2011;5;27-01-2011;18.30;27;;
2011;5;27-01-2011;18.30;28;;
2011;5;29-01-2011;18.30;91;;
2011;5;29-01-2011;18.30;30;;
2011;5;29-01-2011;18.30;92;;
2011;5;29-01-2011;18.30;31;;
2011;5;29-01-2011;18.30;18;;
2011;5;29-01-2011;18.30;12;;
2011;5;29-01-2011;18.30;32;;
2011;5;31-01-2011;18.30;21;28;
2011;5;01-02-2011;18.30;25;31;
2011;5;01-02-2011;18.30;26;13;
2011;5;01-02-2011;18.30;30;27;
2011;5;01-02-2011;18.30;92;91;
2011;5;01-02-2011;18.30;18;12;
2011;5;01-02-2011;18.30;32;29;
2011;5;02-02-2011;18.30;13;92;
2011;5;03-02-2011;18.30;29;91;
2011;5;03-02-2011;18.30;25;26;
2011;5;03-02-2011;18.30;21;32;
2011;5;03-02-2011;18.30;27;18;
2011;5;03-02-2011;18.30;31;28;
2011;5;03-02-2011;18.30;12;30;
2011;5;05-02-2011;18.30;26;29;
2011;5;05-02-2011;18.30;21;12;
2011;5;05-02-2011;18.30;13;25;
2011;5;05-02-2011;18.30;27;32;
2011;5;05-02-2011;18.30;28;92;
2011;5;05-02-2011;18.30;91;31;
2011;5;05-02-2011;18.30;30;18;
2011;5;15-02-2011;18.30;29;30;
2011;5;15-02-2011;18.30;27;13;
2011;5;15-02-2011;18.30;91;28;
2011;5;15-02-2011;18.30;92;26;
2011;5;15-02-2011;18.30;31;21;
2011;5;15-02-2011;18.30;18;32;
2011;5;15-02-2011;18.30;12;25;
2011;5;17-02-2011;18.30;25;92;
2011;5;17-02-2011;18.30;26;31;
2011;5;17-02-2011;18.30;21;91;
2011;5;17-02-2011;18.30;13;12;
2011;5;17-02-2011;18.30;27;29;
2011;5;18-02-2011;18.30;30;32;
2011;5;18-02-2011;18.30;12;31;
2011;5;19-02-2011;16.00;25;28;
2011;5;19-02-2011;18.30;29;21;
2011;5;19-02-2011;18.30;26;30;
2011;5;19-02-2011;18.30;91;27;
2011;5;19-02-2011;18.30;92;32;
2011;5;19-02-2011;18.30;18;13;
2011;5;20-02-2011;17.00;13;29;
2011;5;22-02-2011;18.30;21;92;
2011;5;22-02-2011;18.30;27;25;
2011;5;22-02-2011;18.30;28;26;
2011;5;22-02-2011;18.30;91;12;
2011;5;22-02-2011;18.30;31;18;
2011;5;24-02-2011;18.30;25;30;
2011;5;24-02-2011;18.30;13;21;
2011;5;24-02-2011;18.30;92;27;
2011;5;24-02-2011;18.30;18;29;
2011;5;24-02-2011;18.30;12;28;
2011;5;24-02-2011;18.30;32;91;
2011;5;25-02-2011;18.30;21;29;
2011;5;26-02-2011;18.30;13;26;
2011;5;26-02-2011;18.30;27;12;
2011;5;26-02-2011;18.30;91;18;
2011;5;26-02-2011;18.30;30;28;
2011;5;26-02-2011;18.30;31;92;
2011;5;26-02-2011;18.30;32;25;
2011;5;01-03-2011;18.30;25;21;
2011;5;01-03-2011;18.30;26;91;
2011;5;01-03-2011;18.30;28;27;
2011;5;01-03-2011;18.30;92;29;
2011;5;01-03-2011;18.30;31;13;
2011;5;01-03-2011;18.30;18;30;
2011;5;01-03-2011;18.30;12;32;
2011;5;03-03-2011;18.30;29;25;
2011;5;03-03-2011;18.30;21;26;
2011;5;03-03-2011;18.30;13;91;
2011;5;03-03-2011;18.30;27;31;
2011;5;03-03-2011;18.30;30;12;
2011;5;03-03-2011;18.30;92;28;
2011;5;03-03-2011;18.30;32;18;
2011;5;05-03-2011;16.00;91;29;
2011;5;05-03-2011;18.30;26;92;
2011;5;05-03-2011;18.30;13;30;
2011;5;05-03-2011;18.30;28;32;
2011;5;05-03-2011;18.30;31;25;
2011;5;05-03-2011;18.30;18;27;
2011;5;05-03-2011;18.30;12;21;
2011;5;08-03-2011;18.30;29;31;
2011;5;08-03-2011;18.30;25;12;
2011;5;08-03-2011;18.30;21;28;
2011;5;08-03-2011;18.30;27;26;
2011;5;08-03-2011;18.30;30;91;
2011;5;08-03-2011;18.30;92;18;
2011;5;08-03-2011;18.30;32;13;
2011;5;10-03-2011;18.30;26;32;
2011;5;10-03-2011;18.30;13;27;
2011;5;10-03-2011;18.30;28;31;
2011;5;10-03-2011;18.30;91;21;
2011;5;10-03-2011;18.30;30;92;
2011;5;10-03-2011;18.30;18;25;
2011;5;10-03-2011;18.30;12;29;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
